variable,type,description
busArrivalList,String,버스도착정보 목록
stationId,String,정류소 ID
routeId,String,노선 ID
locationNo1,String,첫번째 차량 위치 정보 (WGS84 경위도 좌표)
predictTime1,String,첫번째 차량 도착 예상시간
lowPlate1,String,"첫번째 차량 저상버스 여부 (0:일반버스, 1:저상버스)"
plateNo1,String,첫번째 차량 차량번호
remainSeatCnt1,String,"첫번째 차량 빈자리 수 (-1:정보없음, 0~:빈자리 수)"
delayYn1,String,첫번째 차량 회차점 대기중 여부
locationNo2,String,두번째 차량 위치 정보 (WGS84 경위도 좌표)
predictTime2,String,두번째 차량 도착 예정시간
lowPlate2,String,"두번째 차량 저상버스 여부 (0:일반버스, 1:저상버스)"
plateNo2,String,두번째 차량 차량번호
remainSeatCnt2,String,"두번째 차량 빈자리 수 (-1:정보없음, 0~:빈자리 수)"
delayYn2,String,두번째 차량 회차점 대기중 여부
